date,currency,rate
2023-08-01,NZD,5.64
2023-08-01,USD,5.44
2023-09-01,AUD,4.13
2023-09-01,CAD,5.0375
2023-09-01,CHF,1.77
2023-09-01,EUR,3.88004761904762
2023-09-01,GBP,5.52
2023-09-01,JPY,0.024
2023-09-01,NZD,5.68
2023-09-01,USD,5.49
2023-10-01,AUD,4.21
2023-10-01,CAD,5.08
2023-10-01,CHF,1.77
2023-10-01,EUR,3.96763636363636
2023-10-01,GBP,5.4
2023-10-01,JPY,-0.012
2023-10-01,NZD,5.68
2023-10-01,USD,5.46
2023-11-01,AUD,4.38
2023-11-01,CAD,4.996
2023-11-01,CHF,1.73181818181818
2023-11-01,EUR,3.97163636363636
2023-11-01,GBP,5.36
2023-11-01,JPY,0.024
2023-11-01,NZD,5.63
2023-11-01,USD,5.41
2023-12-01,AUD,4.35
2023-12-01,CAD,4.9475
2023-12-01,CHF,1.6525
2023-12-01,EUR,3.93309523809524
2023-12-01,GBP,5.22
2023-12-01,JPY,0.052
2023-12-01,NZD,5.63
2023-12-01,USD,5.32
2024-01-01,AUD,4.35
2024-01-01,CAD,4.948
2024-01-01,CHF,1.6852380952381
2024-01-01,EUR,3.9252727272727297
2024-01-01,GBP,5.2
2024-01-01,JPY,0.025
2024-01-01,NZD,5.64
2024-01-01,USD,5.26
2024-02-01,AUD,4.34
2024-02-01,CAD,4.935
2024-02-01,CHF,1.7
2024-02-01,EUR,3.92319047619048
2024-02-01,GBP,5.21
2024-02-01,JPY,0.027
2024-02-01,NZD,5.71
2024-02-01,USD,5.22
2024-03-01,AUD,4.35
2024-03-01,CAD,4.905
2024-03-01,CHF,1.5
2024-03-01,EUR,3.9223809523809505
2024-03-01,GBP,5.2
2024-03-01,JPY,0.109
2024-03-01,NZD,5.64
2024-03-01,USD,5.29
2024-04-01,AUD,4.37
2024-04-01,CAD,4.925
2024-04-01,CHF,1.5
2024-04-01,EUR,3.88636363636364
2024-04-01,GBP,5.18
2024-04-01,JPY,0.109
2024-04-01,NZD,5.63
2024-04-01,USD,5.33
2024-05-01,AUD,4.36
2024-05-01,CAD,4.868
2024-05-01,CHF,1.5
2024-05-01,EUR,3.81365217391304
2024-05-01,GBP,5.16
2024-05-01,JPY,0.129
2024-05-01,NZD,5.62
2024-05-01,USD,5.33
2024-06-01,AUD,4.39
2024-06-01,CAD,4.6475
2024-06-01,CHF,1.427
2024-06-01,EUR,3.7245
2024-06-01,GBP,5.16
2024-06-01,JPY,0.149
2024-06-01,NZD,5.62
2024-06-01,USD,5.28
2024-07-01,AUD,4.46
2024-07-01,CAD,4.508
2024-07-01,CHF,1.19347826086957
2024-07-01,EUR,3.68482608695652
2024-07-01,GBP,5.09
2024-07-01,JPY,0.166
2024-07-01,NZD,5.55
2024-07-01,USD,5.31
2024-08-01,AUD,4.38
2024-08-01,CAD,4.2325
2024-08-01,CHF,1.06647238095238
2024-08-01,EUR,3.54759090909091
2024-08-01,GBP,4.91
2024-08-01,JPY,0.255
2024-08-01,NZD,5.3
2024-08-01,USD,5.12
2024-09-01,AUD,4.42
2024-09-01,CAD,4.0425
2024-09-01,CHF,1.02214285714286
2024-09-01,EUR,3.43371428571428
2024-09-01,GBP,4.84
2024-09-01,JPY,0.256
2024-09-01,NZD,5.05
2024-09-01,USD,4.86
2024-10-01,AUD,4.41
2024-10-01,CAD,3.71
2024-10-01,CHF,0.894492608695652
2024-10-01,EUR,3.16660869565217
2024-10-01,GBP,4.75
2024-10-01,JPY,0.256
2024-10-01,NZD,4.65
2024-10-01,USD,4.62
2024-11-01,AUD,4.42
2024-11-01,CAD,3.48
2024-11-01,CHF,0.806508095238095
2024-11-01,EUR,3.0067619047619
2024-11-01,GBP,4.68
2024-11-01,JPY,0.362
2024-11-01,NZD,4.42
2024-11-01,USD,4.53
2024-12-01,AUD,4.44
2024-12-01,CAD,3.195
2024-12-01,CHF,0.60075
2024-12-01,EUR,2.81609090909091
2024-12-01,GBP,4.64
2024-12-01,JPY,0.386
2024-12-01,NZD,4.27
2024-12-01,USD,4.46
2025-01-01,AUD,4.33
2025-01-01,CAD,3.058
2025-01-01,CHF,0.408095238095238
2025-01-01,EUR,2.7031304348
2025-01-01,GBP,4.55
2025-01-01,JPY,0.76727
2025-01-01,NZD,4.05
2025-01-01,USD,4.33
2025-02-01,AUD,4.17
2025-02-01,CAD,2.8425
2025-02-01,CHF,0.37125
2025-02-01,EUR,2.52495
2025-02-01,GBP,4.44
2025-02-01,JPY,0.79182
2025-02-01,NZD,3.81
2025-02-01,USD,4.34
2025-03-01,AUD,4.12
2025-03-01,CAD,2.66
2025-03-01,CHF,0.312911904761905
2025-03-01,EUR,2.4424285714
2025-03-01,GBP,4.39
2025-03-01,JPY,0.82091
2025-03-01,NZD,3.67
2025-03-01,USD,4.29
2025-04-01,AUD,4.02
2025-04-01,CAD,2.622
2025-04-01,CHF,0.15585
2025-04-01,EUR,2.2481818182
2025-04-01,GBP,4.26
2025-04-01,JPY,0.78364
2025-04-01,NZD,3.49
2025-04-01,USD,4.32
2025-05-01,AUD,3.78
2025-05-01,CAD,2.6225
2025-05-01,CHF,0.092
2025-05-01,EUR,2.0912727273
2025-05-01,GBP,4.19
2025-05-01,JPY,0.77545
2025-05-01,NZD,3.34
2025-05-01,USD,4.29
2025-06-01,AUD,3.69
2025-06-01,CAD,2.66
2025-06-01,CHF,0.039603
2025-06-01,EUR,1.9836190476
2025-06-01,GBP,4.15
2025-06-01,JPY,0.77273
2025-06-01,NZD,3.3
2025-06-01,USD,4.31
2025-07-01,AUD,3.68
2025-07-01,CAD,2.662
2025-07-01,CHF,-0.0406521739130435
2025-07-01,EUR,1.9863478261
2025-07-01,GBP,4.05
2025-07-01,JPY,0.77273
2025-07-01,NZD,3.25
2025-07-01,USD,4.28
2025-08-01,AUD,3.61
2025-08-01,CAD,2.655
2025-08-01,CHF,-0.0615
2025-08-01,EUR,2.0210952381
2025-08-01,GBP,3.98
2025-08-01,JPY,0.77273
2025-08-01,NZD,3.1
2025-08-01,USD,4.22
2025-09-01,AUD,3.58
2025-09-01,CAD,2.4925
2025-09-01,CHF,-0.0596968181818182
2025-09-01,EUR,2.0272727273
2025-09-01,GBP,3.97
2025-09-01,JPY,0.81818
2025-09-01,NZD,2.93
2025-09-01,USD,4.1
2025-10-01,AUD,3.56
2025-10-01,CAD,2.334
2025-10-01,CHF,-0.0643113043478261
2025-10-01,EUR,2.0344347826
2025-10-01,GBP,3.93
2025-10-01,JPY,0.80909
2025-10-01,NZD,2.58
2025-10-01,USD,3.98
2025-11-01,AUD,3.65
2025-11-01,CAD,2.185
2025-11-01,CHF,-0.0475
2025-11-01,EUR,2.04165
2025-11-01,GBP,3.84
2025-11-01,JPY,0.80636
